0.030848,0.030423,0.030369,0.030637,0.030769
0.028724,0.02859,0.028762,0.028656,0.028693
0.029962,0.029805,0.029832,0.02976,0.029625
0.030747,0.030319,0.030143,0.030233,0.030203
0.031235,0.030929,0.030954,0.030897,0.030822
0.033309,0.033027,0.033577,0.033217,0.033097
0.035281,0.034992,0.034895,0.034854,0.034894
0.038791,0.038356,0.038396,0.038303,0.038485
0.069814,0.069005,0.069255,0.069311,0.069073
0.094449,0.09102,0.089373,0.089495,0.089409
0.12354,0.12061,0.12017,0.12013,0.11999
0.19362,0.19071,0.19051,0.18962,0.18967
1.3763,1.3775,1.3762,1.3781,1.3788
7.0935,7.6013,8.7407,8.3456,7.4423
20.935,20.646,20.436,20.383,20.634
