0.030673,0.030639,0.030249,0.030203,0.030177
0.3134,0.028294,0.028691,0.028456,0.028435
0.029802,0.029584,0.029398,0.029508,0.029509
0.030405,0.030005,0.030025,0.029903,0.030008
0.030613,0.030481,0.030552,0.030415,0.030321
0.033229,0.032803,0.032521,0.032546,0.032666
0.034688,0.034664,0.034619,0.034468,0.034487
0.038077,0.037935,0.037618,0.037669,0.037696
0.063323,0.048687,0.048501,0.048525,0.04856
0.074271,0.074014,0.074016,0.073917,0.073904
0.1107,0.11052,0.11066,0.11065,0.11054
0.20734,0.20835,0.20673,0.20805,0.20692
1.609,1.616,1.659,1.5826,1.6759
6.5667,6.8787,6.8292,6.9474,6.891
12.624,12.787,12.786,12.568,12.796
