0.030846,0.030709,0.030714,0.030839,0.030949
0.029089,0.028784,0.028824,0.02882,0.028629
0.029969,0.029742,0.029681,0.029652,0.029799
0.030768,0.030342,0.030534,0.030483,0.030414
0.031482,0.03099,0.030931,0.030893,0.03095
0.033619,0.033466,0.033249,0.033134,0.033224
0.035224,0.034919,0.034982,0.034914,0.034768
0.038793,0.038395,0.038226,0.038247,0.038358
0.072487,0.076651,0.076734,0.076635,0.077118
0.10945,0.10785,0.10838,0.10368,0.098462
0.12747,0.12883,0.131,0.13018,0.13286
0.18222,0.16715,0.16629,0.16798,0.16615
1.1599,1.3817,1.4002,1.198,1.6569
10.878,9.9541,10.277,11.128,9.9045
26.335,27.176,26.538,26.465,27.044
